student_id,student_name,date_of_brith,sex,job_id,num_course_taken,current_career_path_id,timespent_on_course_in_hrs,mailing_address,email
4115,Leonila Tran,1966-12-24,N,3,"",10,12,"762 Robin Trafficway, Akutan, Texas, 30501",leonila3877@hmail.com
4119,Aretha Dunn,1943-10-12,F,6,"",3,11,"P.O. Box 91586, Buhler, Oklahoma, 03326",aretha2099@woohoo.com
4144,Shayne Tyson,1958-05-12,M,3,"",3,0,"179 Tawny Crossing, Edgar Springs, New Hampshire, 94134",shayne_tyson5151@woohoo.com
4174,Susie Haas,2001-11-02,F,5,"",2,1,"12 Indian Pony, Rhodhiss, Massachusetts, 08531",susie7983@woohoo.com
4186,Alva Paton,1989-05-10,M,5,"",4,15,"P.O. Box 29670, Belle Terre village, South Dakota, 59963",alva7369@coldmail.com
4189,Karl Jensen,1956-03-07,M,1,"",6,1,"326 Rapid Isle, Crocker, Delaware, 39730",jensen7@hmail.com
4195,Evelia Villa,1983-02-28,N,3,"",4,12,"496 Colonial Cliff Trail, Ashley Heights, Montana, 41251",villa1787@woohoo.com
4225,Christopher Fuentes,1972-01-22,N,6,"",9,32,"P.O. Box 37797, Turlock, New Hampshire, 86036",fuentes741@inlook.com
4241,Nellie de Boef,1953-07-12,N,2,"",2,2,"762 Golden Chase, Hudsonville, New York, 87037",deboef4082@inlook.com
4249,Cesar Velasquez,1979-01-04,N,5,"",6,15,"295 Foggy End Tunnel, Van Horne, California, 79136",cesar7807@coldmail.com
4274,Randa Arisdr,1945-02-23,F,1,"",3,4,"547 Hazy Second, Arvin, Massachusetts, 39717",randa8946@woohoo.com
4296,Ali Brewer,1981-03-05,M,1,"",10,0,"P.O. Box 84763, Bolindale, Rhode Island, 95554",brewer2801@hmail.com
4316,Paul Whitaker,1977-08-11,M,3,"",2,10,"829 Broad Dale, Suwanee, Nevada, 39050",paul_whitaker9443@coldmail.com
4328,Kazuko Foster,1978-03-05,F,3,"","","","P.O. Box 49111, Franklin Park, Maryland, 33651",kazuko_foster7347@inlook.com
4349,Freddy Stofberg,1998-07-27,N,4,"",4,10,"P.O. Box 92116, Rossmoor, Ohio, 92700",stofberg8746@hmail.com
4392,Taylor Salazar,1961-06-27,F,2,"",1,14,"150 Cotton Cove, St. Paris village, Virginia, 61407",taylor_salazar8896@inlook.com
4393,Carin Wintershoven,1960-07-14,F,7,"",4,13,"P.O. Box 39823, Moscow borough, Massachusetts, 60237",carin_wintershoven3094@inlook.com
4399,Abigail Benaerde,1993-06-17,F,4,"",3,3,"99 N Ironwood, Sebewaing village, Iowa, 58957",benaerde5023@coldmail.com
4405,Cortney Kuchler,2001-04-12,F,5,"",5,16,"176 Pine Trail, Belgium village, Idaho, 57555",cortney1625@coldmail.com
4416,Charles Potter,1964-04-22,M,7,"",2,19,"650 Lazy Cove, Hopewell village, Montana, 94345",charles_potter6674@coldmail.com
4428,Junior Holman,1942-09-10,M,3,"","","","115 Dusty Park, Kinta, Vermont, 30983",holman7767@coldmail.com
4437,Kalyn Amons,1953-07-27,F,2,"",6,0,"674 Colonial Trail, Litchfield village, Iowa, 04672",kalyn276@inlook.com
4504,Benjamin Thompson,2001-04-15,N,2,"",3,5,"45 Kennedy Glen, Old Saybrook Center, Oregon, 11073",thompson8718@hmail.com
4512,Amado Herrera,1955-04-19,M,5,"",7,4,"149 Field Crest, Foxburg borough, North Carolina, 43820",amado_herrera3865@inlook.com
4532,Raphael Boyle,1972-04-29,M,7,"",10,3,"487 Noble Loaf Throughway, Adel, Wisconsin, 30429",boyle1284@woohoo.com
4550,Pok van Emmerik,1976-07-10,F,3,"",2,2,"218 Clear Rise Mill, Newcomers village, Mississippi, 23512",pok3863@hmail.com
4566,Juana van Ommeren,1993-07-07,N,1,"",7,4,"711 Rustic Hickory Terrace, Nenana, North Dakota, 70219",vanommeren8244@hmail.com
4575,Raymon Flores,1943-03-20,M,3,"",1,14,"P.O. Box 21828, South Gate Ridge, New Hampshire, 09309",raymon_flores7477@inlook.com
4581,Will Lane,1984-03-30,M,1,"",10,5,"813 Lodge Lawn, Tiro village, Connecticut, 74783",will_lane2970@coldmail.com
4615,Carry Weeks,1984-02-04,F,4,"",10,3,"68 Shady Sixth Vista, Mertzon, Nevada, 32736",weeks368@woohoo.com
4620,Seth Verweij,1974-10-13,M,4,"","","","878 Round Rose Highlands, Murrieta, Pennsylvania, 61726",verweij4231@woohoo.com
4657,Dario Schaefer,2004-12-19,N,8,"",10,14,"497 Fallen Creek, Leola, Iowa, 19285",dario309@woohoo.com
4666,Camille Weber,1996-01-09,F,7,"",4,1,"261 Misty Third Lane, Lake Lac La Belle, New Mexico, 07710",camille_weber8643@inlook.com
4668,Donny Koenen,1982-01-20,N,4,"",5,18,"681 Fallen Robin, Winnetka village, Alaska, 36005",donny390@hmail.com
4682,Shaneka Laponder,1979-07-07,F,6,"","","","805 Cinder Cliff, Marsing, Minnesota, 92873",shaneka_laponder1612@inlook.com
4704,Rosy Sanchez,1995-12-29,N,5,"",6,4,"728 Honey Trafficway, Palco, Kansas, 30672",rosy6028@inlook.com
4757,Stevie Underwood,1993-01-08,M,6,"",5,5,"88 Camp Oval, Devola, Oregon, 77874",stevie_underwood3601@coldmail.com
4783,Megan van der May,1981-06-06,F,1,"","","","972 First Gateway, Alex, Kentucky, 38726",megan3478@woohoo.com
4790,Arnoldo Kruissen,1952-07-20,M,1,"",4,9,"557 Quaking Willow Walk, Cecilia, Kentucky, 46802",arnoldo_kruissen5196@inlook.com
4802,Larisa Chung,1966-10-16,F,3,"",5,11,"709 Peavey Highway, King Cove, Florida, 55711",chung9616@hmail.com
4817,Jeannetta Arnold,2004-02-16,F,8,"",3,8,"835 Lazy Pioneer, Muscotah, South Dakota, 50615",jeannetta8522@woohoo.com
4844,Kera de Heus,1998-08-09,F,4,"",1,10,"641 Fawn Viaduct, Pine Haven, Minnesota, 94633",kera_deheus8563@coldmail.com
4855,Silvana van Leeuwen,1988-11-10,N,1,"",5,12,"418 Dewy Track, Quintana, Kansas, 95160",silvana_vanleeuwen3540@woohoo.com
4868,Maxie Willis,2000-08-10,F,2,"",10,14,"702 Easy Common, Belen, Oregon, 74473",maxie4231@inlook.com
4877,Hubert van Est,1959-03-02,M,5,"",4,1,"139 Indian Wagon Curve, Taylorsville, New Hampshire, 99256",vanest7514@woohoo.com
4890,Tegan Cochran,1970-11-08,F,5,"",8,22,"106 Sunny Nook, Vernal, Georgia, 10769",tegan130@inlook.com
4899,Ruthann Oliver,1998-05-22,F,3,"",7,21,"644 Merry Island, Green Valley, Wyoming, 91273",ruthann1124@woohoo.com
4915,Ernest Holmes,1995-03-11,M,7,"",9,26,"872 Wintergreen Harbor, Gallitzin borough, Maine, 50103",ernest_holmes505@hmail.com
4981,Brice Franklin,1946-12-01,M,4,"",5,8,"947 Panda Way, New Bedford village, Vermont, 31232",brice9741@coldmail.com
4986,Russel Vonck,1994-09-07,M,5,"",5,16,"815 Middle Timber Corner, Clawson, South Dakota, 02949",russel_vonck2834@woohoo.com
163,Glen Riley,2002-08-22,M,"",8,3,5,"P.O. Box 37267, Cornlea village, Tennessee, 19192",glen_riley4484@hmail.com
758,Mercedez Vorberg,2002-03-25,F,"",15,4,4,"284 Cedar Seventh, Virden village, Washington, 60489",mercedez6297@woohoo.com
855,Kurt Ho,2002-05-29,M,"",0,8,23,"P.O. Box 27254, Olin, New Hampshire, 60067",ho6107@inlook.com
1030,Penny Gaines,2002-03-01,N,"",15,4,16,"138 Misty Vale, Stockton borough, West Virginia, 53630",gaines2897@hmail.com
1543,Frederick Reilly,2002-11-13,M,"",7,9,21,"P.O. Box 40769, Quakervillage, Maryland, 96218",frederick_reilly6971@woohoo.com
